            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2
             0,	9.00000000e-01,	1.55694103e-02,	5.00000000e-01,	             0,	           inf,	7.51146283e-02
             1,	9.00000001e-01,	9.32230355e-03,	5.00000000e-01,	             0,	6.24710677e-03,	4.38415216e-02
             2,	8.99999994e-01,	5.63883001e-03,	5.00000000e-01,	             0,	3.68347354e-03,	1.76107125e-02
             3,	9.00000001e-01,	4.37451450e-03,	5.00000000e-01,	             0,	1.26431551e-03,	1.13985225e-02
             4,	9.00000003e-01,	3.79295731e-03,	5.00000000e-01,	             0,	5.81557189e-04,	7.07130528e-03
             5,	8.99999997e-01,	3.34259764e-03,	5.00000000e-01,	             0,	4.50359676e-04,	5.68113999e-03
             6,	9.00000004e-01,	3.05605204e-03,	5.00000000e-01,	             0,	2.86545596e-04,	4.25156664e-03
             7,	9.00000001e-01,	2.74445059e-03,	5.00000000e-01,	             0,	3.11601447e-04,	3.43864812e-03
             8,	9.00000004e-01,	2.43980275e-03,	5.00000000e-01,	             0,	3.04647846e-04,	2.64536253e-03
             9,	8.99999995e-01,	2.14354934e-03,	5.00000000e-01,	             0,	2.96253409e-04,	2.05127701e-03
            10,	9.00000001e-01,	1.87350398e-03,	5.00000000e-01,	             0,	2.70045357e-04,	1.38818215e-03
            11,	9.00000002e-01,	1.69337023e-03,	5.00000000e-01,	             0,	1.80133755e-04,	1.11199558e-03
            12,	9.00000000e-01,	1.57345598e-03,	5.00000000e-01,	             0,	1.19914251e-04,	8.74370760e-04
            13,	9.00000001e-01,	1.49440015e-03,	5.00000000e-01,	             0,	7.90558295e-05,	6.67003152e-04
            14,	9.00000000e-01,	1.44020636e-03,	5.00000000e-01,	             0,	5.41937849e-05,	5.92987279e-04
            15,	8.99999999e-01,	1.40309048e-03,	5.00000000e-01,	             0,	3.71158770e-05,	5.08605973e-04
            16,	9.00000001e-01,	1.37310548e-03,	5.00000000e-01,	             0,	2.99850004e-05,	4.31548118e-04
            17,	9.00000000e-01,	1.35074583e-03,	5.00000000e-01,	             0,	2.23596499e-05,	3.93353907e-04
            18,	9.00000000e-01,	1.33163880e-03,	5.00000000e-01,	             0,	1.91070335e-05,	3.63120433e-04
            19,	9.00000001e-01,	1.31577174e-03,	5.00000000e-01,	             0,	1.58670589e-05,	3.38946689e-04
            20,	9.00000000e-01,	1.30387011e-03,	5.00000000e-01,	             0,	1.19016362e-05,	3.11086388e-04
            21,	9.00000001e-01,	1.29634518e-03,	5.00000000e-01,	             0,	7.52492661e-06,	2.67859533e-04
            22,	8.99999999e-01,	1.29035239e-03,	5.00000000e-01,	             0,	5.99278869e-06,	2.52431482e-04
            23,	9.00000000e-01,	1.28498749e-03,	5.00000000e-01,	             0,	5.36490332e-06,	2.40041444e-04
            24,	8.99999999e-01,	1.27997481e-03,	5.00000000e-01,	             0,	5.01267745e-06,	2.29312469e-04
            25,	9.00000000e-01,	1.27499160e-03,	5.00000000e-01,	             0,	4.98321014e-06,	2.20344580e-04
            26,	9.00000000e-01,	1.26985103e-03,	5.00000000e-01,	             0,	5.14056650e-06,	2.11274385e-04
            27,	8.99999999e-01,	1.26542650e-03,	5.00000000e-01,	             0,	4.42453752e-06,	1.95440033e-04
            28,	9.00000000e-01,	1.26289889e-03,	5.00000000e-01,	             0,	2.52760890e-06,	1.69340185e-04
            29,	9.00000000e-01,	1.26097070e-03,	5.00000000e-01,	             0,	1.92818342e-06,	1.62446382e-04
            30,	9.00000000e-01,	1.25924425e-03,	5.00000000e-01,	             0,	1.72645582e-06,	1.55821835e-04
            31,	9.00000000e-01,	1.25770434e-03,	5.00000000e-01,	             0,	1.53990565e-06,	1.49468300e-04
            32,	9.00000000e-01,	1.25636776e-03,	5.00000000e-01,	             0,	1.33658242e-06,	1.42665273e-04
            33,	9.00000000e-01,	1.25522334e-03,	5.00000000e-01,	             0,	1.14441973e-06,	1.37908130e-04
            34,	9.00000000e-01,	1.25410371e-03,	5.00000000e-01,	             0,	1.11962804e-06,	1.33456711e-04
            35,	9.00000000e-01,	1.25297711e-03,	5.00000000e-01,	             0,	1.12660400e-06,	1.29884561e-04
            36,	9.00000000e-01,	1.25179933e-03,	5.00000000e-01,	             0,	1.17777943e-06,	1.26636547e-04
            37,	9.00000000e-01,	1.25052579e-03,	5.00000000e-01,	             0,	1.27353589e-06,	1.23835808e-04
            38,	9.00000000e-01,	1.24909979e-03,	5.00000000e-01,	             0,	1.42600251e-06,	1.21261023e-04
            39,	9.00000000e-01,	1.24748417e-03,	5.00000000e-01,	             0,	1.61562411e-06,	1.17817053e-04
            40,	9.00000000e-01,	1.24574442e-03,	5.00000000e-01,	             0,	1.73974098e-06,	1.12562363e-04
            41,	9.00000000e-01,	1.24457524e-03,	5.00000000e-01,	             0,	1.16918185e-06,	9.44447026e-05
            42,	9.00000000e-01,	1.24410026e-03,	5.00000000e-01,	             0,	4.74980995e-07,	9.18993926e-05
            43,	9.00000000e-01,	1.24365749e-03,	5.00000000e-01,	             0,	4.42769520e-07,	8.99283439e-05
            44,	9.00000000e-01,	1.24323743e-03,	5.00000000e-01,	             0,	4.20056970e-07,	8.83862009e-05
            45,	9.00000000e-01,	1.24283311e-03,	5.00000000e-01,	             0,	4.04321680e-07,	8.68364108e-05
            46,	9.00000000e-01,	1.24243915e-03,	5.00000000e-01,	             0,	3.93965331e-07,	8.55994998e-05
            47,	9.00000000e-01,	1.24205006e-03,	5.00000000e-01,	             0,	3.89087427e-07,	8.48278435e-05
            48,	9.00000000e-01,	1.24166140e-03,	5.00000000e-01,	             0,	3.88665234e-07,	8.46467134e-05
            49,	9.00000000e-01,	1.24127290e-03,	5.00000000e-01,	             0,	3.88494808e-07,	8.47781516e-05
            50,	9.00000000e-01,	1.24088383e-03,	5.00000000e-01,	             0,	3.89073259e-07,	8.49726872e-05
            51,	9.00000000e-01,	1.24050184e-03,	5.00000000e-01,	             0,	3.81984182e-07,	8.49592700e-05
            52,	9.00000000e-01,	1.24013899e-03,	5.00000000e-01,	             0,	3.62856675e-07,	8.44064716e-05
            53,	9.00000000e-01,	1.23979757e-03,	5.00000000e-01,	             0,	3.41420639e-07,	8.26478279e-05
            54,	9.00000000e-01,	1.23947491e-03,	5.00000000e-01,	             0,	3.22654029e-07,	8.02588259e-05
