            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2
             0,	9.00000000e-01,	1.55694103e-02,	5.00000000e-01,	             0,	           inf,	7.51146283e-02
             1,	9.00000001e-01,	1.12108481e-02,	5.00000000e-01,	             0,	4.35856225e-03,	4.16179248e-02
             2,	9.00000002e-01,	9.07405318e-03,	5.00000000e-01,	             0,	2.13679489e-03,	2.57132135e-02
             3,	8.99999999e-01,	7.71178814e-03,	5.00000000e-01,	             0,	1.36226504e-03,	1.80153349e-02
             4,	9.00000003e-01,	6.69104748e-03,	5.00000000e-01,	             0,	1.02074065e-03,	1.38992980e-02
             5,	9.00000001e-01,	5.87501523e-03,	5.00000000e-01,	             0,	8.16032256e-04,	1.11886583e-02
             6,	8.99999999e-01,	5.22180813e-03,	5.00000000e-01,	             0,	6.53207098e-04,	9.09293486e-03
             7,	9.00000000e-01,	4.73801975e-03,	5.00000000e-01,	             0,	4.83788382e-04,	7.55698391e-03
             8,	8.99999999e-01,	4.32216688e-03,	5.00000000e-01,	             0,	4.15852863e-04,	6.61669493e-03
             9,	9.00000000e-01,	3.91749526e-03,	5.00000000e-01,	             0,	4.04671624e-04,	5.99121353e-03
            10,	9.00000001e-01,	3.49681680e-03,	5.00000000e-01,	             0,	4.20678461e-04,	5.48072265e-03
            11,	9.00000002e-01,	3.08321149e-03,	5.00000000e-01,	             0,	4.13605309e-04,	4.91860892e-03
            12,	8.99999999e-01,	2.71011906e-03,	5.00000000e-01,	             0,	3.73092424e-04,	4.22894439e-03
            13,	9.00000000e-01,	2.37759413e-03,	5.00000000e-01,	             0,	3.32524934e-04,	3.73512008e-03
            14,	8.99999999e-01,	2.08110590e-03,	5.00000000e-01,	             0,	2.96488227e-04,	2.46218299e-03
            15,	9.00000000e-01,	1.90246674e-03,	5.00000000e-01,	             0,	1.78639160e-04,	2.01201842e-03
            16,	9.00000000e-01,	1.76365838e-03,	5.00000000e-01,	             0,	1.38808368e-04,	1.67620312e-03
