            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2
             0,	9.00000000e-01,	1.55694103e-02,	5.00000000e-01,	             0,	           inf,	7.51146283e-02
             1,	8.99999998e-01,	9.05613664e-03,	5.00000000e-01,	             0,	6.51327368e-03,	2.40570585e-02
             2,	8.99999999e-01,	6.18992040e-03,	5.00000000e-01,	             0,	2.86621624e-03,	1.27507526e-02
             3,	9.00000000e-01,	4.88154503e-03,	5.00000000e-01,	             0,	1.30837537e-03,	8.32151601e-03
             4,	8.99999999e-01,	4.06679355e-03,	5.00000000e-01,	             0,	8.14751478e-04,	6.04075228e-03
             5,	8.99999994e-01,	3.44996458e-03,	5.00000000e-01,	             0,	6.16828971e-04,	3.80482378e-03
             6,	8.99999999e-01,	3.11147468e-03,	5.00000000e-01,	             0,	3.38489901e-04,	3.05746049e-03
             7,	8.99999998e-01,	2.81349607e-03,	5.00000000e-01,	             0,	2.97978614e-04,	2.68184798e-03
             8,	9.00000002e-01,	2.53399817e-03,	5.00000000e-01,	             0,	2.79497898e-04,	2.40185407e-03
             9,	9.00000001e-01,	2.23847613e-03,	5.00000000e-01,	             0,	2.95522042e-04,	2.03117164e-03
            10,	9.00000001e-01,	1.96541320e-03,	5.00000000e-01,	             0,	2.73062924e-04,	1.62406593e-03
            11,	8.99999999e-01,	1.74993057e-03,	5.00000000e-01,	             0,	2.15482635e-04,	1.27992710e-03
            12,	9.00000001e-01,	1.59966273e-03,	5.00000000e-01,	             0,	1.50267834e-04,	1.03879455e-03
            13,	8.99999998e-01,	1.50540965e-03,	5.00000000e-01,	             0,	9.42530879e-05,	7.91418053e-04
            14,	9.00000002e-01,	1.44527972e-03,	5.00000000e-01,	             0,	6.01299297e-05,	6.74535103e-04
            15,	9.00000001e-01,	1.40265992e-03,	5.00000000e-01,	             0,	4.26197984e-05,	5.79269998e-04
            16,	9.00000000e-01,	1.37278151e-03,	5.00000000e-01,	             0,	2.98784063e-05,	4.74641809e-04
            17,	9.00000000e-01,	1.34930965e-03,	5.00000000e-01,	             0,	2.34718591e-05,	4.45297536e-04
            18,	9.00000000e-01,	1.33050575e-03,	5.00000000e-01,	             0,	1.88039028e-05,	3.95690688e-04
            19,	9.00000001e-01,	1.31517100e-03,	5.00000000e-01,	             0,	1.53347482e-05,	3.31570856e-04
            20,	9.00000000e-01,	1.30311567e-03,	5.00000000e-01,	             0,	1.20553333e-05,	3.14913044e-04
            21,	9.00000000e-01,	1.29301648e-03,	5.00000000e-01,	             0,	1.00991863e-05,	2.95843724e-04
            22,	9.00000001e-01,	1.28474040e-03,	5.00000000e-01,	             0,	8.27608424e-06,	2.78040573e-04
            23,	8.99999999e-01,	1.27847579e-03,	5.00000000e-01,	             0,	6.26460945e-06,	2.47548906e-04
            24,	9.00000000e-01,	1.27493457e-03,	5.00000000e-01,	             0,	3.54121752e-06,	2.06663758e-04
            25,	9.00000000e-01,	1.27174931e-03,	5.00000000e-01,	             0,	3.18526007e-06,	1.96799494e-04
            26,	9.00000001e-01,	1.26862925e-03,	5.00000000e-01,	             0,	3.12005921e-06,	1.89009262e-04
            27,	9.00000000e-01,	1.26539444e-03,	5.00000000e-01,	             0,	3.23480914e-06,	1.82875255e-04
            28,	9.00000000e-01,	1.26235431e-03,	5.00000000e-01,	             0,	3.04012906e-06,	1.77588410e-04
            29,	9.00000000e-01,	1.25950387e-03,	5.00000000e-01,	             0,	2.85044682e-06,	1.71689929e-04
            30,	9.00000000e-01,	1.25684416e-03,	5.00000000e-01,	             0,	2.65970158e-06,	1.65706629e-04
            31,	9.00000000e-01,	1.25453954e-03,	5.00000000e-01,	             0,	2.30462383e-06,	1.35091829e-04
            32,	9.00000000e-01,	1.25332046e-03,	5.00000000e-01,	             0,	1.21908200e-06,	1.30059334e-04
            33,	9.00000000e-01,	1.25219170e-03,	5.00000000e-01,	             0,	1.12875691e-06,	1.25920576e-04
            34,	9.00000000e-01,	1.25113152e-03,	5.00000000e-01,	             0,	1.06017898e-06,	1.22171319e-04
            35,	9.00000000e-01,	1.25013516e-03,	5.00000000e-01,	             0,	9.96365343e-07,	1.18133029e-04
            36,	9.00000000e-01,	1.24919871e-03,	5.00000000e-01,	             0,	9.36450954e-07,	1.14455690e-04
            37,	9.00000000e-01,	1.24831767e-03,	5.00000000e-01,	             0,	8.81039714e-07,	1.10834327e-04
            38,	9.00000000e-01,	1.24750013e-03,	5.00000000e-01,	             0,	8.17533079e-07,	1.07467400e-04
            39,	9.00000000e-01,	1.24673744e-03,	5.00000000e-01,	             0,	7.62696628e-07,	1.04485532e-04
            40,	9.00000000e-01,	1.24602262e-03,	5.00000000e-01,	             0,	7.14818524e-07,	1.01690250e-04
            41,	9.00000000e-01,	1.24535848e-03,	5.00000000e-01,	             0,	6.64141460e-07,	9.89293607e-05
            42,	9.00000000e-01,	1.24473813e-03,	5.00000000e-01,	             0,	6.20348998e-07,	9.64365560e-05
            43,	9.00000000e-01,	1.24408925e-03,	5.00000000e-01,	             0,	6.48879270e-07,	9.47252830e-05
            44,	9.00000000e-01,	1.24338027e-03,	5.00000000e-01,	             0,	7.08976680e-07,	9.32994430e-05
            45,	9.00000000e-01,	1.24257900e-03,	5.00000000e-01,	             0,	8.01268489e-07,	9.21911394e-05
            46,	9.00000000e-01,	1.24165261e-03,	5.00000000e-01,	             0,	9.26390210e-07,	9.13731558e-05
            47,	9.00000000e-01,	1.24063519e-03,	5.00000000e-01,	             0,	1.01742574e-06,	9.04931786e-05
            48,	9.00000000e-01,	1.23964439e-03,	5.00000000e-01,	             0,	9.90792966e-07,	8.89625447e-05
            49,	9.00000000e-01,	1.23871605e-03,	5.00000000e-01,	             0,	9.28348737e-07,	8.60681433e-05
            50,	9.00000000e-01,	1.23805438e-03,	5.00000000e-01,	             0,	6.61666511e-07,	6.82488644e-05
            51,	9.00000000e-01,	1.23781229e-03,	5.00000000e-01,	             0,	2.42089727e-07,	6.65350060e-05
            52,	9.00000000e-01,	1.23759156e-03,	5.00000000e-01,	             0,	2.20731468e-07,	6.50177327e-05
            53,	9.00000000e-01,	1.23738484e-03,	5.00000000e-01,	             0,	2.06713992e-07,	6.35496049e-05
            54,	9.00000000e-01,	1.23719028e-03,	5.00000000e-01,	             0,	1.94567552e-07,	6.22481665e-05
            55,	9.00000000e-01,	1.23700801e-03,	5.00000000e-01,	             0,	1.82262705e-07,	6.10693912e-05
            56,	9.00000000e-01,	1.23683434e-03,	5.00000000e-01,	             0,	1.73669746e-07,	5.99907063e-05
            57,	9.00000000e-01,	1.23667113e-03,	5.00000000e-01,	             0,	1.63212095e-07,	5.90992915e-05
            58,	9.00000000e-01,	1.23651552e-03,	5.00000000e-01,	             0,	1.55607142e-07,	5.81908212e-05
            59,	9.00000000e-01,	1.23636896e-03,	5.00000000e-01,	             0,	1.46563867e-07,	5.73659902e-05
            60,	9.00000000e-01,	1.23622724e-03,	5.00000000e-01,	             0,	1.41719135e-07,	5.65569949e-05
            61,	9.00000000e-01,	1.23609218e-03,	5.00000000e-01,	             0,	1.35062218e-07,	5.57198552e-05
            62,	9.00000000e-01,	1.23596162e-03,	5.00000000e-01,	             0,	1.30562483e-07,	5.49727170e-05
            63,	9.00000000e-01,	1.23583631e-03,	5.00000000e-01,	             0,	1.25308038e-07,	5.41987538e-05
            64,	9.00000000e-01,	1.23571572e-03,	5.00000000e-01,	             0,	1.20585123e-07,	5.34470990e-05
            65,	9.00000000e-01,	1.23559739e-03,	5.00000000e-01,	             0,	1.18331485e-07,	5.27028892e-05
            66,	9.00000000e-01,	1.23548264e-03,	5.00000000e-01,	             0,	1.14753526e-07,	5.19662453e-05
            67,	9.00000000e-01,	1.23537089e-03,	5.00000000e-01,	             0,	1.11749831e-07,	5.13904628e-05
            68,	9.00000000e-01,	1.23526070e-03,	5.00000000e-01,	             0,	1.10191993e-07,	5.08538066e-05
            69,	9.00000000e-01,	1.23515505e-03,	5.00000000e-01,	             0,	1.05643206e-07,	5.02162665e-05
            70,	9.00000000e-01,	1.23505083e-03,	5.00000000e-01,	             0,	1.04222780e-07,	4.96834706e-05
            71,	9.00000000e-01,	1.23494871e-03,	5.00000000e-01,	             0,	1.02125111e-07,	4.92202001e-05
            72,	9.00000000e-01,	1.23484837e-03,	5.00000000e-01,	             0,	1.00332695e-07,	4.88335166e-05
            73,	9.00000000e-01,	1.23474846e-03,	5.00000000e-01,	             0,	9.99173727e-08,	4.84072436e-05
            74,	9.00000000e-01,	1.23465035e-03,	5.00000000e-01,	             0,	9.81100902e-08,	4.79324316e-05
            75,	9.00000000e-01,	1.23455255e-03,	5.00000000e-01,	             0,	9.77971207e-08,	4.75224023e-05
            76,	9.00000000e-01,	1.23445518e-03,	5.00000000e-01,	             0,	9.73716009e-08,	4.70930373e-05
            77,	9.00000000e-01,	1.23435804e-03,	5.00000000e-01,	             0,	9.71357197e-08,	4.66942096e-05
            78,	9.00000000e-01,	1.23426096e-03,	5.00000000e-01,	             0,	9.70825949e-08,	4.62859032e-05
            79,	9.00000000e-01,	1.23416364e-03,	5.00000000e-01,	             0,	9.73198546e-08,	4.59083163e-05
            80,	9.00000000e-01,	1.23406650e-03,	5.00000000e-01,	             0,	9.71347081e-08,	4.55596344e-05
            81,	9.00000000e-01,	1.23396845e-03,	5.00000000e-01,	             0,	9.80545364e-08,	4.52881905e-05
            82,	9.00000000e-01,	1.23387018e-03,	5.00000000e-01,	             0,	9.82655670e-08,	4.49775123e-05
            83,	9.00000000e-01,	1.23377067e-03,	5.00000000e-01,	             0,	9.95099115e-08,	4.46298299e-05
            84,	9.00000000e-01,	1.23366984e-03,	5.00000000e-01,	             0,	1.00837873e-07,	4.44436743e-05
            85,	9.00000000e-01,	1.23356806e-03,	5.00000000e-01,	             0,	1.01777717e-07,	4.41862215e-05
