            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2,	           kkt,	    tot_reeval,	volume_correction,	       penalty
             0,	4.00000000e-01,	5.97040511e-02,	-1.00000000e+00,	             0,	           inf,	3.09308187e-01,	2.39740493e-01,	             0,	0.00000000e+00,	0.00000000e+00
             1,	4.00000000e-01,	5.10537383e-02,	2.99895519e-02,	             0,	8.65031278e-03,	2.98797456e-01,	1.71707743e-01,	             0,	-2.65502795e-01,	0.00000000e+00
             2,	4.00000000e-01,	4.83144597e-02,	3.73754624e-02,	             0,	2.73927854e-03,	2.86820503e-01,	1.51970370e-01,	             0,	-2.18263886e-01,	0.00000000e+00
             3,	4.00000000e-01,	4.49919902e-02,	7.58799424e-02,	             0,	3.32246956e-03,	2.62791726e-01,	1.29432780e-01,	             0,	-2.05796447e-01,	0.00000000e+00
             4,	4.00000000e-01,	4.14929149e-02,	1.43381660e-01,	             0,	3.49907526e-03,	2.18710385e-01,	1.07091250e-01,	             0,	-1.90604289e-01,	0.00000000e+00
             5,	4.00000000e-01,	3.78739029e-02,	2.69833681e-01,	             0,	3.61901197e-03,	1.66578908e-01,	8.60884540e-02,	             0,	-1.74818763e-01,	0.00000000e+00
             6,	4.00000000e-01,	3.41966359e-02,	5.03113752e-01,	             0,	3.67726707e-03,	1.27615230e-01,	6.77384142e-02,	             0,	-1.58757170e-01,	0.00000000e+00
             7,	4.00000000e-01,	3.02695906e-02,	9.51349227e-01,	             0,	3.92704529e-03,	1.01303897e-01,	5.12520946e-02,	             0,	-1.42950933e-01,	0.00000000e+00
             8,	4.00000000e-01,	2.55994536e-02,	1.90524522e+00,	             0,	4.67013693e-03,	7.86707616e-02,	3.49823701e-02,	             0,	-1.26732138e-01,	0.00000000e+00
             9,	4.00000000e-01,	2.04527892e-02,	3.85903541e+00,	             0,	5.14666446e-03,	5.54983894e-02,	1.99304663e-02,	             0,	-1.07137773e-01,	0.00000000e+00
            10,	4.00000000e-01,	1.63671386e-02,	6.74546016e+00,	             0,	4.08565058e-03,	4.19952578e-02,	1.28539044e-02,	             0,	-8.38480709e-02,	0.00000000e+00
            11,	4.00000000e-01,	1.29047213e-02,	1.21967818e+01,	             0,	3.46241731e-03,	3.25811886e-02,	9.03625916e-03,	             0,	-6.58401036e-02,	0.00000000e+00
            12,	4.00000000e-01,	9.48328622e-03,	2.53757987e+01,	             0,	3.42143509e-03,	2.48488230e-02,	6.13491354e-03,	             0,	-5.14681974e-02,	0.00000000e+00
            13,	4.00000000e-01,	6.75991269e-03,	5.32514563e+01,	             0,	2.72337353e-03,	2.18620872e-02,	5.25873049e-03,	             0,	-3.78363774e-02,	0.00000000e+00
            14,	4.00000000e-01,	5.57135323e-03,	3.37443946e+01,	             1,	1.18855946e-03,	1.31647807e-02,	2.58655529e-03,	             1,	-2.57935864e-02,	0.00000000e+00
            15,	4.00000000e-01,	4.77678677e-03,	3.51698170e+01,	             0,	7.94566458e-04,	1.03047723e-02,	1.59620299e-03,	             1,	-1.93089931e-02,	0.00000000e+00
            16,	4.00000000e-01,	4.12026282e-03,	5.62777859e+01,	             0,	6.56523956e-04,	8.26797664e-03,	8.92605584e-04,	             1,	-1.55619287e-02,	0.00000000e+00
            17,	4.00000000e-01,	3.57366194e-03,	1.05084928e+02,	             0,	5.46600873e-04,	6.34894118e-03,	5.11076231e-04,	             1,	-1.21618360e-02,	0.00000000e+00
            18,	4.00000000e-01,	3.14628406e-03,	2.23740390e+02,	             0,	4.27377887e-04,	5.30629924e-03,	2.74403547e-04,	             1,	-9.96423540e-03,	0.00000000e+00
            19,	4.00000000e-01,	2.89002966e-03,	4.41388302e+02,	             0,	2.56254393e-04,	7.67546912e-03,	1.20352411e-04,	             1,	-7.70118846e-03,	0.00000000e+00
            20,	4.00000000e-01,	2.79527822e-03,	7.92837028e+02,	             0,	9.47514422e-05,	1.40143649e-02,	7.70667820e-05,	             1,	-7.02570999e-03,	0.00000000e+00
            21,	4.00000000e-01,	2.75952111e-03,	1.04477463e+03,	             0,	3.57571094e-05,	2.28468028e-02,	4.33825917e-05,	             1,	-6.97767719e-03,	0.00000000e+00
            22,	4.00000000e-01,	2.74037082e-03,	1.14650517e+03,	             0,	1.91502910e-05,	3.16760639e-02,	1.26942974e-05,	             1,	-6.47938984e-03,	0.00000000e+00
            23,	4.00000000e-01,	2.73098668e-03,	1.31431124e+03,	             0,	9.38413570e-06,	3.99139733e-02,	1.18048333e-05,	             1,	-6.87057358e-03,	0.00000000e+00
            24,	4.00000000e-01,	2.72861288e-03,	8.35771596e+02,	             1,	2.37380184e-06,	4.42786274e-02,	8.71217103e-06,	             2,	-6.55275108e-03,	0.00000000e+00
