            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2,	           kkt,	    tot_reeval,	volume_correction,	       penalty
             0,	4.00000000e-01,	5.97040511e-02,	-1.00000000e+00,	             0,	           inf,	3.09357853e-01,	2.39771172e-01,	             0,	0.00000000e+00,	0.00000000e+00
             1,	4.00000000e-01,	5.01915728e-02,	3.49562290e-02,	             0,	9.51247825e-03,	2.97051787e-01,	1.65795882e-01,	             0,	-2.66589335e-01,	0.00000000e+00
             2,	4.00000000e-01,	4.76033890e-02,	4.21006652e-02,	             0,	2.58818382e-03,	2.83645673e-01,	1.47307849e-01,	             0,	-2.14155504e-01,	0.00000000e+00
             3,	4.00000000e-01,	4.42073399e-02,	8.93934142e-02,	             0,	3.39604903e-03,	2.55289723e-01,	1.24399526e-01,	             0,	-2.02573178e-01,	0.00000000e+00
             4,	4.00000000e-01,	4.06232220e-02,	1.69446665e-01,	             0,	3.58411792e-03,	2.05387376e-01,	1.01819918e-01,	             0,	-1.87101770e-01,	0.00000000e+00
             5,	4.00000000e-01,	3.69662579e-02,	3.17121920e-01,	             0,	3.65696416e-03,	1.55381943e-01,	8.12643266e-02,	             0,	-1.70959550e-01,	0.00000000e+00
             6,	4.00000000e-01,	3.32521069e-02,	5.90019044e-01,	             0,	3.71415097e-03,	1.20053216e-01,	6.34852731e-02,	             0,	-1.54812249e-01,	0.00000000e+00
             7,	4.00000000e-01,	2.91835401e-02,	1.12721669e+00,	             0,	4.06856680e-03,	9.56678138e-02,	4.71549769e-02,	             0,	-1.39009339e-01,	0.00000000e+00
             8,	4.00000000e-01,	2.42855947e-02,	2.29165797e+00,	             0,	4.89794538e-03,	7.25410414e-02,	3.08682746e-02,	             0,	-1.22287681e-01,	0.00000000e+00
             9,	4.00000000e-01,	1.93024194e-02,	4.51172317e+00,	             0,	4.98317535e-03,	5.10494795e-02,	1.73972902e-02,	             0,	-1.01321494e-01,	0.00000000e+00
            10,	4.00000000e-01,	1.54768320e-02,	7.71279018e+00,	             0,	3.82558736e-03,	3.94408238e-02,	1.17293762e-02,	             0,	-7.86491650e-02,	0.00000000e+00
            11,	4.00000000e-01,	1.20440956e-02,	1.46143662e+01,	             0,	3.43273638e-03,	3.04890330e-02,	8.26420649e-03,	             0,	-6.20841237e-02,	0.00000000e+00
            12,	4.00000000e-01,	8.63393714e-03,	3.06794161e+01,	             0,	3.41015851e-03,	2.28922643e-02,	5.38509464e-03,	             0,	-4.80543511e-02,	0.00000000e+00
            13,	4.00000000e-01,	6.48614283e-03,	6.01145372e+01,	             0,	2.14779431e-03,	2.50505750e-02,	5.94415254e-03,	             0,	-3.40108877e-02,	0.00000000e+00
            14,	4.00000000e-01,	5.28201333e-03,	3.32940907e+01,	             1,	1.20412950e-03,	1.21213897e-02,	2.29693744e-03,	             1,	-2.53249880e-02,	0.00000000e+00
            15,	4.00000000e-01,	4.60775450e-03,	3.42176873e+01,	             0,	6.74258832e-04,	9.61540021e-03,	1.38816373e-03,	             1,	-1.80111010e-02,	0.00000000e+00
            16,	4.00000000e-01,	4.01420933e-03,	5.98929259e+01,	             0,	5.93545171e-04,	7.75072896e-03,	8.42983666e-04,	             1,	-1.46980107e-02,	0.00000000e+00
            17,	4.00000000e-01,	3.40733941e-03,	1.45734057e+02,	             0,	6.06869915e-04,	5.03541011e-03,	3.79635154e-04,	             1,	-1.19022330e-02,	0.00000000e+00
            18,	4.00000000e-01,	2.99739759e-03,	3.43134563e+02,	             0,	4.09941828e-04,	3.03625756e-03,	1.46616443e-04,	             1,	-8.94374361e-03,	0.00000000e+00
            19,	4.00000000e-01,	2.79310306e-03,	1.19837849e+03,	             0,	2.04294525e-04,	1.02614160e-03,	3.78027790e-05,	             1,	-7.31400535e-03,	0.00000000e+00
            20,	4.00000000e-01,	2.76779440e-03,	4.43069999e+03,	             0,	2.53086596e-05,	8.40485342e-04,	4.38809899e-05,	             1,	-6.69609273e-03,	0.00000000e+00
            21,	4.00000000e-01,	2.74914956e-03,	1.03171485e+03,	             2,	1.86448398e-05,	3.62639738e-04,	2.32436754e-05,	             3,	-7.14483851e-03,	0.00000000e+00
            22,	4.00000000e-01,	2.74643720e-03,	2.46890804e+02,	             2,	2.71236303e-06,	2.02799602e-04,	6.34430738e-06,	             5,	-7.29904613e-03,	0.00000000e+00
