            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2,	           kkt,	    tot_reeval,	volume_correction,	       penalty
             0,	4.00000000e-01,	6.19081402e-02,	-1.00000000e+00,	             0,	           inf,	3.14092008e-01,	2.46833358e-01,	             0,	0.00000000e+00,	0.00000000e+00
             1,	4.00000000e-01,	5.31849202e-02,	2.61745910e-02,	             0,	8.72322000e-03,	3.04820335e-01,	1.80627372e-01,	             0,	-2.74742669e-01,	0.00000000e+00
             2,	4.00000000e-01,	5.03096427e-02,	3.29773301e-02,	             0,	2.87527748e-03,	2.94068649e-01,	1.59854673e-01,	             0,	-2.27402050e-01,	0.00000000e+00
             3,	4.00000000e-01,	4.69212783e-02,	6.59383211e-02,	             0,	3.38836441e-03,	2.72880954e-01,	1.36845998e-01,	             0,	-2.14273381e-01,	0.00000000e+00
             4,	4.00000000e-01,	4.33636207e-02,	1.24358645e-01,	             0,	3.55765763e-03,	2.33748801e-01,	1.14003461e-01,	             0,	-1.98789933e-01,	0.00000000e+00
             5,	4.00000000e-01,	3.96629828e-02,	2.34567261e-01,	             0,	3.70063785e-03,	1.79870143e-01,	9.21442665e-02,	             0,	-1.82756889e-01,	0.00000000e+00
             6,	4.00000000e-01,	3.58955093e-02,	4.38230605e-01,	             0,	3.76747345e-03,	1.37210506e-01,	7.28341776e-02,	             0,	-1.66313954e-01,	0.00000000e+00
             7,	4.00000000e-01,	3.19314726e-02,	8.24388075e-01,	             0,	3.96403679e-03,	1.08384119e-01,	5.56734460e-02,	             0,	-1.50034311e-01,	0.00000000e+00
             8,	4.00000000e-01,	2.72917446e-02,	1.63188285e+00,	             0,	4.63972792e-03,	8.51725571e-02,	3.89076787e-02,	             0,	-1.33586663e-01,	0.00000000e+00
             9,	4.00000000e-01,	2.19741465e-02,	3.33942747e+00,	             0,	5.31759816e-03,	6.06997939e-02,	2.27177580e-02,	             0,	-1.14330781e-01,	0.00000000e+00
            10,	4.00000000e-01,	1.75774444e-02,	5.97523036e+00,	             0,	4.39670209e-03,	4.49925279e-02,	1.40901872e-02,	             0,	-9.04930762e-02,	0.00000000e+00
            11,	4.00000000e-01,	1.39976725e-02,	1.04895563e+01,	             0,	3.57977188e-03,	3.49238860e-02,	9.92480242e-03,	             0,	-7.09079912e-02,	0.00000000e+00
            12,	4.00000000e-01,	1.04781943e-02,	2.16155372e+01,	             0,	3.51947819e-03,	2.68945172e-02,	6.94740269e-03,	             0,	-5.59151100e-02,	0.00000000e+00
            13,	4.00000000e-01,	7.34480784e-03,	4.58782641e+01,	             0,	3.13338647e-03,	2.19041197e-02,	5.28130344e-03,	             0,	-4.19699090e-02,	0.00000000e+00
            14,	4.00000000e-01,	6.06657061e-03,	3.17270553e+01,	             1,	1.27823724e-03,	1.50030611e-02,	3.10477232e-03,	             1,	-2.77056373e-02,	0.00000000e+00
            15,	4.00000000e-01,	5.12152368e-03,	3.39912887e+01,	             0,	9.45046922e-04,	1.13528695e-02,	1.88886256e-03,	             1,	-2.15594761e-02,	0.00000000e+00
            16,	4.00000000e-01,	4.42418975e-03,	4.72261996e+01,	             0,	6.97333936e-04,	8.94709175e-03,	1.02673370e-03,	             1,	-1.68913147e-02,	0.00000000e+00
            17,	4.00000000e-01,	3.87477206e-03,	7.78450048e+01,	             0,	5.49417683e-04,	7.05549249e-03,	6.50619559e-04,	             1,	-1.32844848e-02,	0.00000000e+00
            18,	4.00000000e-01,	3.37888226e-03,	1.68384022e+02,	             0,	4.95889809e-04,	4.67446846e-03,	3.60410906e-04,	             1,	-1.12084075e-02,	0.00000000e+00
            19,	4.00000000e-01,	3.05130008e-03,	3.33213996e+02,	             0,	3.27582177e-04,	3.31213404e-03,	1.71757116e-04,	             1,	-8.50304215e-03,	0.00000000e+00
            20,	4.00000000e-01,	2.91131702e-03,	6.12676087e+02,	             0,	1.39983059e-04,	3.29306676e-03,	1.02626606e-04,	             1,	-7.52014045e-03,	0.00000000e+00
            21,	4.00000000e-01,	2.85403399e-03,	8.36536088e+02,	             0,	5.72830324e-05,	6.55422075e-03,	4.71150099e-05,	             1,	-7.17499351e-03,	0.00000000e+00
            22,	4.00000000e-01,	2.83192575e-03,	1.05020340e+03,	             0,	2.21082348e-05,	1.20042607e-02,	3.76322334e-05,	             1,	-6.65861448e-03,	0.00000000e+00
            23,	4.00000000e-01,	2.82580653e-03,	2.30369089e+02,	             2,	6.11921813e-06,	1.33848672e-02,	1.36819171e-05,	             3,	-7.45268265e-03,	0.00000000e+00
            24,	4.00000000e-01,	2.82314325e-03,	2.35633232e+02,	             0,	2.66328741e-06,	1.47281834e-02,	1.04736816e-05,	             3,	-6.88612233e-03,	0.00000000e+00
            25,	4.00000000e-01,	2.81859343e-03,	6.71299148e+02,	             0,	4.54981381e-06,	1.84798133e-02,	8.58305467e-06,	             3,	-6.90658889e-03,	0.00000000e+00
