            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2,	           kkt,	    tot_reeval,	volume_correction,	       penalty
             0,	4.00000000e-01,	6.14149581e-02,	-1.00000000e+00,	             0,	           inf,	3.12627068e-01,	2.45013380e-01,	             0,	0.00000000e+00,	0.00000000e+00
             1,	4.00000000e-01,	5.26920604e-02,	2.65345049e-02,	             0,	8.72289770e-03,	3.03251518e-01,	1.78859187e-01,	             0,	-2.72622771e-01,	0.00000000e+00
             2,	4.00000000e-01,	4.98523194e-02,	3.33384802e-02,	             0,	2.83974102e-03,	2.92433267e-01,	1.58357994e-01,	             0,	-2.25264534e-01,	0.00000000e+00
             3,	4.00000000e-01,	4.64893519e-02,	6.68430733e-02,	             0,	3.36296751e-03,	2.71049853e-01,	1.35526309e-01,	             0,	-2.12313770e-01,	0.00000000e+00
             4,	4.00000000e-01,	4.29574853e-02,	1.26098628e-01,	             0,	3.53186659e-03,	2.31572765e-01,	1.12853663e-01,	             0,	-1.96952103e-01,	0.00000000e+00
             5,	4.00000000e-01,	3.92863051e-02,	2.37794582e-01,	             0,	3.67118021e-03,	1.77964251e-01,	9.11813925e-02,	             0,	-1.81037418e-01,	0.00000000e+00
             6,	4.00000000e-01,	3.55511956e-02,	4.44132339e-01,	             0,	3.73510951e-03,	1.35752828e-01,	7.20570096e-02,	             0,	-1.64727350e-01,	0.00000000e+00
             7,	4.00000000e-01,	3.16203355e-02,	8.35526525e-01,	             0,	3.93086012e-03,	1.07250884e-01,	5.50595266e-02,	             0,	-1.48591953e-01,	0.00000000e+00
             8,	4.00000000e-01,	2.70167813e-02,	1.65459666e+00,	             0,	4.60355416e-03,	8.42494355e-02,	3.84436838e-02,	             0,	-1.32286432e-01,	0.00000000e+00
             9,	4.00000000e-01,	2.17477712e-02,	3.38493051e+00,	             0,	5.26901011e-03,	6.00075350e-02,	2.24175053e-02,	             0,	-1.13174382e-01,	0.00000000e+00
            10,	4.00000000e-01,	1.74007496e-02,	6.05006179e+00,	             0,	4.34702159e-03,	4.45406535e-02,	1.39289330e-02,	             0,	-8.95438406e-02,	0.00000000e+00
            11,	4.00000000e-01,	1.38572908e-02,	1.06285943e+01,	             0,	3.54345885e-03,	3.46079235e-02,	9.81730960e-03,	             0,	-7.01882772e-02,	0.00000000e+00
            12,	4.00000000e-01,	1.03692644e-02,	2.19144546e+01,	             0,	3.48802639e-03,	2.66470941e-02,	6.87192335e-03,	             0,	-5.53529920e-02,	0.00000000e+00
            13,	4.00000000e-01,	7.27235172e-03,	4.65091432e+01,	             0,	3.09691266e-03,	2.17887715e-02,	5.25749947e-03,	             0,	-4.15321940e-02,	0.00000000e+00
            14,	4.00000000e-01,	6.00629632e-03,	3.20171129e+01,	             1,	1.26605540e-03,	1.48565893e-02,	3.06875570e-03,	             1,	-2.74482609e-02,	0.00000000e+00
            15,	4.00000000e-01,	5.07346435e-03,	3.42212020e+01,	             0,	9.32831966e-04,	1.12537985e-02,	1.86897586e-03,	             1,	-2.13292168e-02,	0.00000000e+00
            16,	4.00000000e-01,	4.38352120e-03,	4.76681490e+01,	             0,	6.89943153e-04,	8.86997745e-03,	1.01555274e-03,	             1,	-1.67271451e-02,	0.00000000e+00
            17,	4.00000000e-01,	3.83973222e-03,	7.87034550e+01,	             0,	5.43788985e-04,	6.98890783e-03,	6.42696449e-04,	             1,	-1.31554304e-02,	0.00000000e+00
            18,	4.00000000e-01,	3.34936133e-03,	1.70161579e+02,	             0,	4.90370882e-04,	4.61247588e-03,	3.55908802e-04,	             1,	-1.11002089e-02,	0.00000000e+00
            19,	4.00000000e-01,	3.02490782e-03,	3.37782059e+02,	             0,	3.24453515e-04,	3.10464650e-03,	1.69447193e-04,	             1,	-8.42957393e-03,	0.00000000e+00
            20,	4.00000000e-01,	2.88658916e-03,	6.22823818e+02,	             0,	1.38318663e-04,	1.58652770e-03,	1.01430297e-04,	             1,	-7.45624613e-03,	0.00000000e+00
            21,	4.00000000e-01,	2.83022696e-03,	8.50211962e+02,	             0,	5.63622013e-05,	8.77082810e-04,	4.66964965e-05,	             1,	-7.11832454e-03,	0.00000000e+00
