            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2
             0,	9.00000000e-01,	1.55694103e-02,	5.00000000e-01,	             0,	           inf,	7.51146283e-02
             1,	9.00000002e-01,	9.47761183e-03,	5.00000000e-01,	             0,	6.09179849e-03,	2.60334931e-02
             2,	8.99999997e-01,	7.04959214e-03,	5.00000000e-01,	             0,	2.42801969e-03,	1.43528496e-02
             3,	9.00000003e-01,	5.70913176e-03,	5.00000000e-01,	             0,	1.34046038e-03,	9.80884484e-03
             4,	9.00000002e-01,	4.85493708e-03,	5.00000000e-01,	             0,	8.54194685e-04,	7.24527263e-03
             5,	8.99999996e-01,	4.20902481e-03,	5.00000000e-01,	             0,	6.45912273e-04,	5.74293721e-03
             6,	8.99999997e-01,	3.68268158e-03,	5.00000000e-01,	             0,	5.26343229e-04,	4.74417980e-03
             7,	9.00000000e-01,	3.20699165e-03,	5.00000000e-01,	             0,	4.75689929e-04,	3.22859149e-03
             8,	9.00000000e-01,	2.87014402e-03,	5.00000000e-01,	             0,	3.36847633e-04,	2.80823413e-03
             9,	9.00000000e-01,	2.56635670e-03,	5.00000000e-01,	             0,	3.03787314e-04,	2.45229178e-03
            10,	8.99999997e-01,	2.27432736e-03,	5.00000000e-01,	             0,	2.92029346e-04,	2.09424707e-03
            11,	9.00000000e-01,	2.01417682e-03,	5.00000000e-01,	             0,	2.60150531e-04,	1.77225299e-03
            12,	8.99999999e-01,	1.80661681e-03,	5.00000000e-01,	             0,	2.07560017e-04,	1.46953030e-03
            13,	9.00000000e-01,	1.65333740e-03,	5.00000000e-01,	             0,	1.53279410e-04,	1.17392813e-03
            14,	9.00000000e-01,	1.54965171e-03,	5.00000000e-01,	             0,	1.03685689e-04,	9.58070228e-04
            15,	9.00000000e-01,	1.47739720e-03,	5.00000000e-01,	             0,	7.22545088e-05,	7.96316364e-04
            16,	9.00000001e-01,	1.42720235e-03,	5.00000000e-01,	             0,	5.01948491e-05,	7.02308023e-04
            17,	9.00000001e-01,	1.39239294e-03,	5.00000000e-01,	             0,	3.48094119e-05,	5.49789831e-04
            18,	8.99999999e-01,	1.36586754e-03,	5.00000000e-01,	             0,	2.65253944e-05,	5.08842241e-04
            19,	8.99999999e-01,	1.34454031e-03,	5.00000000e-01,	             0,	2.13272296e-05,	4.68189321e-04
            20,	9.00000001e-01,	1.32674602e-03,	5.00000000e-01,	             0,	1.77942902e-05,	3.88007541e-04
            21,	9.00000000e-01,	1.31487039e-03,	5.00000000e-01,	             0,	1.18756291e-05,	3.34693530e-04
            22,	9.00000000e-01,	1.30454796e-03,	5.00000000e-01,	             0,	1.03224323e-05,	3.22954548e-04
            23,	9.00000000e-01,	1.29515317e-03,	5.00000000e-01,	             0,	9.39479617e-06,	3.09825392e-04
            24,	9.00000000e-01,	1.28749638e-03,	5.00000000e-01,	             0,	7.65678883e-06,	2.56928190e-04
            25,	9.00000000e-01,	1.28236837e-03,	5.00000000e-01,	             0,	5.12800588e-06,	2.19597891e-04
            26,	9.00000000e-01,	1.27866745e-03,	5.00000000e-01,	             0,	3.70092070e-06,	2.10761287e-04
            27,	9.00000000e-01,	1.27531290e-03,	5.00000000e-01,	             0,	3.35454842e-06,	2.04277354e-04
            28,	8.99999999e-01,	1.27220884e-03,	5.00000000e-01,	             0,	3.10405984e-06,	1.97528060e-04
            29,	9.00000000e-01,	1.26930125e-03,	5.00000000e-01,	             0,	2.90758734e-06,	1.90066209e-04
            30,	9.00000000e-01,	1.26711949e-03,	5.00000000e-01,	             0,	2.18176148e-06,	1.55680417e-04
            31,	9.00000000e-01,	1.26543170e-03,	5.00000000e-01,	             0,	1.68779800e-06,	1.49613145e-04
            32,	9.00000000e-01,	1.26383844e-03,	5.00000000e-01,	             0,	1.59325115e-06,	1.43728469e-04
            33,	9.00000000e-01,	1.26232970e-03,	5.00000000e-01,	             0,	1.50874817e-06,	1.38774935e-04
            34,	9.00000000e-01,	1.26088342e-03,	5.00000000e-01,	             0,	1.44627393e-06,	1.33481877e-04
            35,	9.00000000e-01,	1.25949688e-03,	5.00000000e-01,	             0,	1.38654526e-06,	1.28916475e-04
            36,	9.00000000e-01,	1.25814656e-03,	5.00000000e-01,	             0,	1.35031933e-06,	1.23980612e-04
            37,	9.00000000e-01,	1.25682054e-03,	5.00000000e-01,	             0,	1.32601888e-06,	1.19786739e-04
            38,	9.00000000e-01,	1.25556606e-03,	5.00000000e-01,	             0,	1.25448337e-06,	1.17088794e-04
            39,	9.00000000e-01,	1.25439944e-03,	5.00000000e-01,	             0,	1.16661271e-06,	1.14265753e-04
            40,	9.00000000e-01,	1.25331379e-03,	5.00000000e-01,	             0,	1.08565211e-06,	1.11856346e-04
            41,	9.00000000e-01,	1.25230299e-03,	5.00000000e-01,	             0,	1.01079956e-06,	1.09232103e-04
            42,	9.00000000e-01,	1.25134742e-03,	5.00000000e-01,	             0,	9.55568492e-07,	1.06856103e-04
