            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2,	           kkt,	    tot_reeval,	volume_correction,	       penalty
             0,	4.00000000e-01,	6.11133974e-02,	-1.00000000e+00,	             0,	           inf,	3.12218760e-01,	2.44172072e-01,	             0,	0.00000000e+00,	0.00000000e+00
             1,	4.00000000e-01,	5.25213566e-02,	2.68186201e-02,	             0,	8.59204082e-03,	3.02763498e-01,	1.78218879e-01,	             0,	-2.71264966e-01,	0.00000000e+00
             2,	4.00000000e-01,	4.96776277e-02,	3.38104324e-02,	             0,	2.84372887e-03,	2.91806218e-01,	1.57664765e-01,	             0,	-2.24601410e-01,	0.00000000e+00
             3,	4.00000000e-01,	4.63248448e-02,	6.76102942e-02,	             0,	3.35278293e-03,	2.70208343e-01,	1.34889104e-01,	             0,	-2.11607600e-01,	0.00000000e+00
             4,	4.00000000e-01,	4.28028304e-02,	1.27533303e-01,	             0,	3.52201441e-03,	2.30304286e-01,	1.12281999e-01,	             0,	-1.96277800e-01,	0.00000000e+00
             5,	4.00000000e-01,	3.91403757e-02,	2.40519806e-01,	             0,	3.66245470e-03,	1.76847417e-01,	9.06879006e-02,	             0,	-1.80398092e-01,	0.00000000e+00
             6,	4.00000000e-01,	3.54122530e-02,	4.49257215e-01,	             0,	3.72812271e-03,	1.34959518e-01,	7.16400028e-02,	             0,	-1.64122957e-01,	0.00000000e+00
             7,	4.00000000e-01,	3.14825213e-02,	8.45629485e-01,	             0,	3.92973168e-03,	1.06678115e-01,	5.46934518e-02,	             0,	-1.48020930e-01,	0.00000000e+00
             8,	4.00000000e-01,	2.68724668e-02,	1.67642680e+00,	             0,	4.61005452e-03,	8.37251784e-02,	3.81171930e-02,	             0,	-1.31724391e-01,	0.00000000e+00
             9,	4.00000000e-01,	2.16106655e-02,	3.42758994e+00,	             0,	5.26180127e-03,	5.95759792e-02,	2.21782661e-02,	             0,	-1.12567182e-01,	0.00000000e+00
            10,	4.00000000e-01,	1.72839945e-02,	6.11386458e+00,	             0,	4.32667103e-03,	4.43030068e-02,	1.38267958e-02,	             0,	-8.89450291e-02,	0.00000000e+00
            11,	4.00000000e-01,	1.37429234e-02,	1.07727471e+01,	             0,	3.54107110e-03,	3.44116588e-02,	9.73341697e-03,	             0,	-6.96937636e-02,	0.00000000e+00
            12,	4.00000000e-01,	1.02608345e-02,	2.22307051e+01,	             0,	3.48208891e-03,	2.64651382e-02,	6.78233978e-03,	             0,	-5.48785577e-02,	0.00000000e+00
            13,	4.00000000e-01,	7.20004996e-03,	4.71659791e+01,	             0,	3.06078455e-03,	2.16516522e-02,	5.21194783e-03,	             0,	-4.10844445e-02,	0.00000000e+00
            14,	4.00000000e-01,	5.95016353e-03,	3.22670246e+01,	             1,	1.24988643e-03,	1.46337955e-02,	3.00616630e-03,	             1,	-2.71857597e-02,	0.00000000e+00
            15,	4.00000000e-01,	5.03428620e-03,	3.44131137e+01,	             0,	9.15877327e-04,	1.11225556e-02,	1.83423061e-03,	             1,	-2.10761712e-02,	0.00000000e+00
            16,	4.00000000e-01,	4.35128011e-03,	4.84362721e+01,	             0,	6.83006096e-04,	8.78659690e-03,	1.00000100e-03,	             1,	-1.65766765e-02,	0.00000000e+00
            17,	4.00000000e-01,	3.81006993e-03,	8.06041371e+01,	             0,	5.41210179e-04,	6.91136853e-03,	6.29742004e-04,	             1,	-1.30379087e-02,	0.00000000e+00
            18,	4.00000000e-01,	3.32679306e-03,	1.73785476e+02,	             0,	4.83276868e-04,	4.60454829e-03,	3.47954270e-04,	             1,	-1.09815146e-02,	0.00000000e+00
            19,	4.00000000e-01,	3.00932369e-03,	3.44169151e+02,	             0,	3.17469376e-04,	3.40439295e-03,	1.64362831e-04,	             1,	-8.34997980e-03,	0.00000000e+00
            20,	4.00000000e-01,	2.87515152e-03,	6.33517231e+02,	             0,	1.34172166e-04,	3.39835767e-03,	9.83506789e-05,	             1,	-7.40791296e-03,	0.00000000e+00
            21,	4.00000000e-01,	2.82064412e-03,	8.65886013e+02,	             0,	5.45073970e-05,	5.59126452e-03,	4.59689704e-05,	             1,	-7.09084581e-03,	0.00000000e+00
            22,	4.00000000e-01,	2.79970020e-03,	1.07685410e+03,	             0,	2.09439222e-05,	8.97891401e-03,	3.64577109e-05,	             1,	-6.58659139e-03,	0.00000000e+00
            23,	4.00000000e-01,	2.79374243e-03,	2.34976882e+02,	             2,	5.95776777e-06,	9.78133886e-03,	1.31120623e-05,	             3,	-7.37010569e-03,	0.00000000e+00
            24,	4.00000000e-01,	2.79121395e-03,	2.41199945e+02,	             0,	2.52848455e-06,	1.05767268e-02,	1.00253209e-05,	             3,	-6.81788156e-03,	0.00000000e+00
            25,	4.00000000e-01,	2.78686429e-03,	6.91395777e+02,	             0,	4.34966052e-06,	1.28363670e-02,	8.16127166e-06,	             3,	-6.83629625e-03,	0.00000000e+00
