 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	9.00000000e-01,	1.54691638e-02,	-1.00000000e+00,	0,	inf,	7.57601353e-02,	2.45494624e-02,	
1,	9.00000000e-01,	1.41996674e-02,	6.88957641e-01,	0,	1.26949641e-03,	6.24389151e-02,	2.05802096e-02,	
2,	9.00000000e-01,	1.02794946e-02,	3.70013180e+00,	0,	3.92017277e-03,	3.46293053e-02,	1.15283385e-02,	
3,	9.00000000e-01,	7.68823048e-03,	7.62445353e+00,	0,	2.59126414e-03,	2.06745666e-02,	6.68670222e-03,	
4,	9.00000000e-01,	5.86184164e-03,	1.74260822e+01,	0,	1.82638883e-03,	1.17915656e-02,	3.43427156e-03,	
5,	9.00000000e-01,	4.93343393e-03,	3.47387616e+01,	0,	9.28407714e-04,	7.26788004e-03,	1.88184614e-03,	
6,	9.00000000e-01,	4.32989634e-03,	7.28715859e+01,	0,	6.03537592e-04,	5.51786415e-03,	1.21903583e-03,	
7,	9.00000000e-01,	3.73431673e-03,	1.89729989e+02,	0,	5.95579609e-04,	5.00351159e-03,	1.06365432e-03,	
8,	9.00000000e-01,	3.57088578e-03,	3.53417157e+02,	0,	1.63430946e-04,	9.17447686e-03,	2.34709308e-03,	
9,	9.00000000e-01,	3.18240523e-03,	1.23108283e+02,	1,	3.88480548e-04,	6.06394890e-03,	1.34898999e-03,	
10,	9.00000000e-01,	2.72230181e-03,	1.08535246e+02,	0,	4.60103424e-04,	4.78549852e-03,	8.11553703e-04,	
11,	9.00000000e-01,	2.39733913e-03,	1.84301736e+02,	0,	3.24962685e-04,	4.10070532e-03,	6.21712238e-04,	
12,	9.00000000e-01,	1.92157860e-03,	6.09077802e+02,	0,	4.75760529e-04,	3.17522123e-03,	3.99560155e-04,	
13,	9.00000000e-01,	1.60330218e-03,	1.66618647e+03,	0,	3.18276417e-04,	2.08508646e-03,	3.27723823e-04,	
14,	9.00000000e-01,	1.49107912e-03,	1.77698004e+03,	1,	1.12223060e-04,	1.81865515e-03,	3.31675864e-04,	
15,	9.00000000e-01,	1.42350572e-03,	1.59825120e+03,	0,	6.75734047e-05,	1.44569813e-03,	1.95389377e-04,	
16,	9.00000000e-01,	1.37287790e-03,	1.56192121e+03,	0,	5.06278163e-05,	1.23611314e-03,	1.13212147e-04,	
17,	9.00000000e-01,	1.32683030e-03,	2.23257158e+03,	0,	4.60475942e-05,	1.04652022e-03,	9.57671370e-05,	
18,	9.00000000e-01,	1.31896146e-03,	8.62838258e+03,	0,	7.86884013e-06,	4.38952749e-03,	1.00994348e-03,	
19,	9.00000000e-01,	1.27121258e-03,	1.47208166e+03,	0,	4.77488875e-05,	6.17586703e-04,	9.05565572e-05,	
20,	9.00000000e-01,	1.26032407e-03,	1.42682277e+03,	0,	1.08885036e-05,	5.10293196e-04,	6.33562695e-05,	
21,	9.00000000e-01,	1.25185716e-03,	2.16340998e+03,	0,	8.46691589e-06,	4.31392700e-04,	5.49563925e-05,	
22,	9.00000000e-01,	1.23758206e-03,	9.05091045e+03,	2,	1.42751015e-05,	3.91724378e-04,	7.44814537e-05,	
23,	9.00000000e-01,	1.23418040e-03,	8.85217828e+03,	0,	3.40166053e-06,	2.64477113e-04,	4.79256768e-05,	
24,	9.00000000e-01,	1.22773378e-03,	7.58748405e+03,	0,	6.44661065e-06,	2.05453200e-04,	2.97260076e-05,	
25,	9.00000000e-01,	1.22258153e-03,	6.62827481e+03,	0,	5.15225449e-06,	1.61123732e-04,	2.37017747e-05,	
26,	9.00000000e-01,	1.21976299e-03,	1.13652978e+04,	0,	2.81854519e-06,	1.50522047e-04,	2.89433358e-05,	
27,	9.00000000e-01,	1.21684543e-03,	8.14515876e+03,	0,	2.91755579e-06,	1.16144316e-04,	2.04555349e-05,	
28,	9.00000000e-01,	1.21430714e-03,	6.59601418e+03,	0,	2.53828613e-06,	9.32010276e-05,	1.79695835e-05,	
29,	9.00000000e-01,	1.21388194e-03,	1.16840000e+04,	0,	4.25206137e-07,	9.37111948e-05,	1.93764685e-05,	
