 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	9.00000000e-01,	1.54691638e-02,	-1.00000000e+00,	0,	inf,	7.57601353e-02,	2.45494624e-02,	
1,	9.00000000e-01,	1.41996674e-02,	6.88957641e-01,	0,	1.26949641e-03,	6.24389151e-02,	2.05802096e-02,	
2,	9.00000000e-01,	1.02794946e-02,	3.70013180e+00,	0,	3.92017277e-03,	3.46293053e-02,	1.15283385e-02,	
3,	9.00000000e-01,	7.68823048e-03,	7.62445353e+00,	0,	2.59126414e-03,	2.06745666e-02,	6.68670222e-03,	
4,	9.00000000e-01,	5.86184164e-03,	1.74260822e+01,	0,	1.82638883e-03,	1.17915656e-02,	3.43427156e-03,	
5,	9.00000000e-01,	4.93343393e-03,	3.47387616e+01,	0,	9.28407714e-04,	7.26788004e-03,	1.88184614e-03,	
6,	9.00000000e-01,	4.32989634e-03,	7.28715859e+01,	0,	6.03537592e-04,	5.51786415e-03,	1.21903583e-03,	
7,	9.00000000e-01,	3.73431673e-03,	1.89729989e+02,	0,	5.95579609e-04,	5.00351159e-03,	1.06365432e-03,	
8,	9.00000000e-01,	3.40350523e-03,	1.76708578e+02,	1,	3.30811495e-04,	5.15764158e-03,	1.09536751e-03,	
9,	9.00000000e-01,	3.09159083e-03,	2.14810976e+02,	0,	3.11914405e-04,	5.53524096e-03,	1.17981472e-03,	
10,	9.00000000e-01,	2.68430834e-03,	1.96022946e+02,	0,	4.07282488e-04,	4.84107655e-03,	9.71135514e-04,	
11,	9.00000000e-01,	2.37092562e-03,	2.01356840e+02,	0,	3.13382722e-04,	4.08542721e-03,	6.65997993e-04,	
12,	9.00000000e-01,	2.09741279e-03,	2.50443498e+02,	0,	2.73512832e-04,	3.45747587e-03,	4.78688359e-04,	
13,	9.00000000e-01,	1.78226087e-03,	6.76270790e+02,	0,	3.15151911e-04,	2.81515769e-03,	3.53393513e-04,	
14,	9.00000000e-01,	1.58433328e-03,	2.28582083e+03,	0,	1.97927596e-04,	2.13726406e-03,	4.14137659e-04,	
15,	9.00000000e-01,	1.47049174e-03,	2.68080750e+03,	0,	1.13841539e-04,	3.22965648e-03,	7.60650989e-04,	
16,	9.00000000e-01,	1.41837400e-03,	4.68172227e+01,	5,	5.21177428e-05,	1.57020520e-03,	2.62592387e-04,	
17,	9.00000000e-01,	1.40751852e-03,	5.89497516e+01,	0,	1.08554747e-05,	1.39334374e-03,	1.80923449e-04,	
18,	9.00000000e-01,	1.39516357e-03,	1.58087985e+02,	0,	1.23549472e-05,	1.29902407e-03,	1.26219797e-04,	
19,	9.00000000e-01,	1.38124718e-03,	3.79017872e+02,	0,	1.39163957e-05,	1.26034846e-03,	1.09465072e-04,	
20,	9.00000000e-01,	1.34290017e-03,	1.84379309e+03,	0,	3.83470066e-05,	1.13326715e-03,	9.47077117e-05,	
21,	9.00000000e-01,	1.29347671e-03,	5.99452081e+03,	1,	4.94234593e-05,	8.32058165e-04,	9.33621229e-05,	
22,	9.00000000e-01,	1.27507454e-03,	5.00371421e+03,	1,	1.84021759e-05,	5.85229177e-04,	8.96395783e-05,	
23,	9.00000000e-01,	1.26011082e-03,	4.77281842e+03,	0,	1.49637170e-05,	7.42857535e-04,	1.32207072e-04,	
24,	9.00000000e-01,	1.25397552e-03,	1.68836341e+02,	4,	6.13530475e-06,	4.11056301e-04,	5.98906307e-05,	
25,	9.00000000e-01,	1.25266229e-03,	2.00714422e+02,	0,	1.31322817e-06,	3.98292360e-04,	5.59859350e-05,	
26,	9.00000000e-01,	1.24650015e-03,	1.56730297e+03,	0,	6.16213323e-06,	3.55028798e-04,	4.57723525e-05,	
27,	9.00000000e-01,	1.23787565e-03,	3.16196904e+03,	0,	8.62450696e-06,	3.02949692e-04,	4.12663277e-05,	
28,	9.00000000e-01,	1.22904703e-03,	5.66856010e+03,	3,	8.82862042e-06,	2.39770119e-04,	3.27418683e-05,	
29,	9.00000000e-01,	1.22257267e-03,	2.05551117e+04,	0,	6.47435287e-06,	2.11631285e-04,	4.46664211e-05,	
30,	9.00000000e-01,	1.21848352e-03,	4.83986009e+03,	2,	4.08915542e-06,	1.49052891e-04,	2.46580512e-05,	
31,	9.00000000e-01,	1.21587770e-03,	4.09916535e+03,	0,	2.60582283e-06,	1.19544456e-04,	2.21433807e-05,	
32,	9.00000000e-01,	1.21430473e-03,	8.70665180e+03,	0,	1.57296365e-06,	1.04757494e-04,	2.03504620e-05,	
33,	9.00000000e-01,	1.21347174e-03,	4.91335511e+03,	1,	8.32995103e-07,	9.38946685e-05,	1.87493590e-05,	
