 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	9.00000000e-01,	1.55694098e-02,	-1.00000000e+00,	0,	inf,	7.61127312e-02,	2.46637114e-02,	
1,	9.00000000e-01,	1.40590758e-02,	8.23422545e-01,	0,	1.51033406e-03,	6.08472643e-02,	2.00978504e-02,	
2,	9.00000000e-01,	1.01495423e-02,	3.86349146e+00,	0,	3.90953344e-03,	3.37671636e-02,	1.12378136e-02,	
3,	9.00000000e-01,	7.58632927e-03,	7.98321905e+00,	0,	2.56321305e-03,	2.00756692e-02,	6.46503232e-03,	
4,	9.00000000e-01,	5.81833894e-03,	1.81098335e+01,	0,	1.76799033e-03,	1.15600714e-02,	3.31490494e-03,	
5,	9.00000000e-01,	4.92132668e-03,	3.60718748e+01,	0,	8.97012256e-04,	7.12643321e-03,	1.83206207e-03,	
6,	9.00000000e-01,	4.31984758e-03,	7.62506518e+01,	0,	6.01479097e-04,	5.49227738e-03,	1.19853685e-03,	
7,	9.00000000e-01,	3.71823772e-03,	2.00977025e+02,	0,	6.01609863e-04,	5.06729061e-03,	1.07847117e-03,	
8,	9.00000000e-01,	3.38457740e-03,	1.83282533e+02,	1,	3.33660321e-04,	5.27942357e-03,	1.13767079e-03,	
9,	9.00000000e-01,	3.07036479e-03,	2.10362636e+02,	0,	3.14212608e-04,	5.47072625e-03,	1.14129678e-03,	
10,	9.00000000e-01,	2.63011907e-03,	1.94589594e+02,	0,	4.40245718e-04,	4.64680381e-03,	8.72257249e-04,	
11,	9.00000000e-01,	2.33190475e-03,	2.23704676e+02,	0,	2.98214320e-04,	3.97259295e-03,	6.33187710e-04,	
12,	9.00000000e-01,	2.03547087e-03,	3.11237797e+02,	0,	2.96433880e-04,	3.33146718e-03,	4.48417234e-04,	
13,	9.00000000e-01,	1.72521309e-03,	8.29952085e+02,	0,	3.10257785e-04,	2.54772609e-03,	3.39017687e-04,	
14,	9.00000000e-01,	1.61713318e-03,	2.54133148e+03,	0,	1.08079906e-04,	3.02459070e-03,	7.22424730e-04,	
15,	9.00000000e-01,	1.44611653e-03,	1.90508981e+03,	0,	1.71016652e-04,	1.68270647e-03,	3.05390483e-04,	
16,	9.00000000e-01,	1.39247388e-03,	1.85208885e+03,	0,	5.36426548e-05,	1.27044600e-03,	1.06246314e-04,	
17,	9.00000000e-01,	1.34922334e-03,	2.15882411e+03,	0,	4.32505320e-05,	1.06771447e-03,	9.74832672e-05,	
18,	9.00000000e-01,	1.31277449e-03,	4.38878694e+03,	1,	3.64488489e-05,	8.69871589e-04,	1.26366904e-04,	
19,	9.00000000e-01,	1.30378403e-03,	1.35505792e+03,	2,	8.99046777e-06,	7.15259994e-04,	7.60891399e-05,	
20,	9.00000000e-01,	1.29481331e-03,	1.30195240e+03,	0,	8.97071627e-06,	6.50208890e-04,	7.36821896e-05,	
21,	9.00000000e-01,	1.27274802e-03,	5.38287095e+03,	1,	2.20652914e-05,	4.53989550e-04,	6.84303539e-05,	
22,	9.00000000e-01,	1.25998200e-03,	1.29733303e+04,	0,	1.27660212e-05,	4.08905074e-04,	9.10441548e-05,	
23,	9.00000000e-01,	1.24652990e-03,	2.32772904e+03,	2,	1.34520989e-05,	2.50207277e-04,	3.72451975e-05,	
24,	9.00000000e-01,	1.24176566e-03,	2.17891804e+03,	0,	4.76424250e-06,	2.29832576e-04,	3.13966074e-05,	
25,	9.00000000e-01,	1.23470468e-03,	9.79293904e+03,	0,	7.06098085e-06,	1.97554000e-04,	3.45514028e-05,	
26,	9.00000000e-01,	1.23152039e-03,	1.13166925e+04,	0,	3.18428553e-06,	1.66966219e-04,	2.98591945e-05,	
27,	9.00000000e-01,	1.22836492e-03,	8.60056008e+03,	0,	3.15547378e-06,	1.26718772e-04,	2.18096111e-05,	
28,	9.00000000e-01,	1.22476892e-03,	7.03969651e+03,	0,	3.59600026e-06,	9.92739443e-05,	2.04459397e-05,	
29,	9.00000000e-01,	1.22176463e-03,	7.54347749e+03,	1,	3.00428162e-06,	9.10619737e-05,	1.84236188e-05,	
30,	9.00000000e-01,	1.22032586e-03,	2.57385311e+04,	0,	1.43877599e-06,	7.96349471e-05,	1.57137193e-05,	
31,	9.00000000e-01,	1.21958764e-03,	5.49173820e+03,	2,	7.38213349e-07,	5.37478982e-05,	1.48835687e-05,	
