 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	2.40000000e-01,	1.22570127e+00,	1.00000000e+00,	0,	inf,	6.71506039e+00,	1.54367811e+00,	
1,	2.40000000e-01,	8.89088816e-01,	1.25000000e-01,	3,	3.36612452e-01,	2.85367702e+00,	6.42648081e-01,	
2,	2.40000000e-01,	6.20016677e-01,	1.15129132e-01,	0,	2.69072138e-01,	1.18645844e+00,	2.84574796e-01,	
3,	2.40000000e-01,	5.22837606e-01,	1.45938098e-01,	0,	9.71790712e-02,	8.13284263e-01,	1.93647117e-01,	
4,	2.40000000e-01,	4.19524617e-01,	3.56152397e-01,	0,	1.03312989e-01,	6.41417102e-01,	1.38049824e-01,	
5,	2.40000000e-01,	3.07967961e-01,	7.95706003e-01,	0,	1.11556656e-01,	7.15897509e-01,	1.47053691e-01,	
6,	2.40000000e-01,	2.32637641e-01,	1.61618501e+00,	0,	7.53303194e-02,	1.52989356e+00,	3.26639773e-01,	
7,	2.40000000e-01,	1.91465772e-01,	1.46545026e+00,	0,	4.11718689e-02,	9.54231225e-01,	2.17230982e-01,	
8,	2.40000000e-01,	1.02495220e-01,	1.37793239e+00,	0,	8.89705525e-02,	4.04570630e-01,	9.36973002e-02,	
9,	2.40000000e-01,	6.17476933e-02,	1.38193281e+00,	0,	4.07475267e-02,	1.48412887e-01,	3.15684727e-02,	
10,	2.40000000e-01,	5.05622803e-02,	1.61073479e+00,	0,	1.11854129e-02,	1.06659772e-01,	2.04959408e-02,	
11,	2.40000000e-01,	3.81192193e-02,	4.80340077e+00,	0,	1.24430610e-02,	7.01757772e-02,	1.11315669e-02,	
12,	2.40000000e-01,	2.89193072e-02,	1.31917345e+01,	0,	9.19991215e-03,	4.52946814e-02,	5.62881712e-03,	
13,	2.40000000e-01,	2.25999983e-02,	4.25856328e+01,	0,	6.31930886e-03,	2.70742442e-02,	2.56510958e-03,	
