 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
68,	7.30271561e-01,	7.96525905e+02,	5.13066665e-04,	0,	2.84026740e+00,	6.20842155e+03,	8.08253536e+01,	
69,	7.29752471e-01,	7.95145732e+02,	1.09848700e-04,	3,	1.38017276e+00,	2.93588185e+03,	6.95560592e+01,	
70,	7.29304153e-01,	7.94611925e+02,	8.24851907e-05,	0,	5.33807498e-01,	6.09186882e+03,	5.11334343e+01,	
71,	7.28895096e-01,	7.93874495e+02,	7.85841930e-05,	0,	7.37430034e-01,	6.06825657e+03,	4.00150475e+01,	
72,	7.28018671e-01,	7.92778554e+02,	1.66836768e-04,	0,	1.09594129e+00,	6.07907158e+03,	4.08767913e+01,	
73,	7.25666218e-01,	7.90872096e+02,	4.91442443e-04,	2,	1.90645748e+00,	3.43622727e+03,	1.88121709e+02,	
74,	7.25516847e-01,	7.89976286e+02,	3.73371461e-05,	3,	8.95809678e-01,	3.20451871e+03,	5.95193226e+01,	
75,	7.25353248e-01,	7.89540843e+02,	3.28618559e-05,	0,	4.35443709e-01,	6.09207770e+03,	5.18858381e+01,	
76,	7.24240570e-01,	7.88676800e+02,	2.26426238e-04,	0,	8.64043063e-01,	6.26724502e+03,	1.71789680e+02,	
77,	7.24130547e-01,	7.88064894e+02,	3.13106178e-05,	1,	6.11906001e-01,	3.28308314e+03,	5.66413459e+01,	
78,	7.23996143e-01,	7.87711294e+02,	2.78805521e-05,	0,	3.53599369e-01,	6.07689363e+03,	4.94198626e+01,	
79,	7.23068594e-01,	7.86641898e+02,	1.93583985e-04,	0,	1.06939617e+00,	6.13155145e+03,	1.21080997e+02,	
80,	7.22839746e-01,	7.86230812e+02,	5.12581664e-05,	1,	4.11085873e-01,	3.14368094e+03,	5.37364844e+01,	
81,	7.22634495e-01,	7.85751285e+02,	4.27163737e-05,	0,	4.79527235e-01,	6.06070417e+03,	4.27579507e+01,	
82,	7.21838469e-01,	7.84770771e+02,	1.66082327e-04,	0,	9.80513518e-01,	6.08308265e+03,	7.80261610e+01,	
83,	7.21455452e-01,	7.84622410e+02,	8.62344076e-05,	1,	1.48361544e-01,	3.17791425e+03,	6.28600565e+01,	
84,	7.21156154e-01,	7.83789306e+02,	6.58745262e-05,	0,	8.33104025e-01,	6.06096569e+03,	4.04682692e+01,	
85,	7.20622890e-01,	7.83045041e+02,	1.12692330e-04,	0,	7.44265083e-01,	6.06097478e+03,	3.79742171e+01,	
86,	7.18105229e-01,	7.80099858e+02,	5.88290982e-04,	0,	2.94518240e+00,	6.15984579e+03,	6.32122534e+01,	
87,	7.17651710e-01,	7.79211799e+02,	1.05759081e-04,	4,	8.88059385e-01,	3.19226761e+03,	4.88976357e+01,	
88,	7.17217226e-01,	7.78737755e+02,	1.00186385e-04,	0,	4.74044468e-01,	6.10834048e+03,	4.70494499e+01,	
89,	7.16733448e-01,	7.78123589e+02,	1.14607820e-04,	0,	6.14165332e-01,	6.12492929e+03,	7.53209943e+01,	
