 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
74,	5.45828992e-01,	7.81336107e+02,	1.14920993e-01,	0,	4.24690029e-01,	4.19593494e+03,	1.10413409e+00,	
75,	5.44683126e-01,	7.80644707e+02,	1.20657325e-01,	0,	6.91399619e-01,	4.38356748e+03,	1.09286876e+00,	
76,	5.44307011e-01,	7.80354243e+02,	9.93189908e-02,	0,	2.90464826e-01,	4.33088973e+03,	8.70817674e-01,	
77,	5.43555967e-01,	7.79957509e+02,	9.90777668e-02,	0,	3.96733669e-01,	4.63118831e+03,	7.19923657e-01,	
78,	5.43390961e-01,	7.79836195e+02,	9.06641299e-02,	0,	1.21313692e-01,	4.41225129e+03,	8.01011657e-01,	
79,	5.42891829e-01,	7.79552885e+02,	7.26586098e-02,	0,	2.83310262e-01,	4.54160016e+03,	6.69999137e-01,	
80,	5.42753311e-01,	7.79476290e+02,	7.25222469e-02,	0,	7.65948292e-02,	4.62057773e+03,	7.99144206e-01,	
81,	5.42134623e-01,	7.79210791e+02,	6.82005809e-02,	0,	2.65498822e-01,	4.62015816e+03,	7.45794721e-01,	
82,	5.42180806e-01,	7.79159972e+02,	9.99783614e-03,	2,	5.08189844e-02,	4.61241534e+03,	1.20658131e+00,	
83,	5.42219212e-01,	7.79136206e+02,	9.27633313e-03,	1,	2.37659009e-02,	4.61410027e+03,	7.89924512e-01,	
