gl, gll, cheb, eq, opt
4.000000000000000000e+00,2.811967924308116817e+00,2.521589484627794864e+00,2.632685505808575410e+00,2.373108362128988791e+00,2.360624006063671398e+00
5.000000000000000000e+00,1.978389557767040063e+00,1.886897445330715684e+00,1.897372797477266504e+00,1.892890042846070653e+00,1.894573244121066313e+00
6.000000000000000000e+00,1.274170466130037038e+00,9.736055603555930915e-01,1.046708234344983834e+00,1.302365079562133099e+00,9.747731474805548801e-01
7.000000000000000000e+00,1.246457314660381233e+00,8.394173191468495832e-01,1.006177221391645560e+00,9.292058539996191913e-01,6.625260515786163262e-01
8.000000000000000000e+00,7.773610175234764164e-01,5.960715955660903509e-01,6.838574288359621223e-01,6.877732406270782306e-01,4.833961126852230894e-01
9.000000000000000000e+00,5.710953923300245982e-01,4.502306151553612801e-01,5.040124832091924523e-01,5.289844236736563898e-01,3.797554685267136576e-01
1.000000000000000000e+01,4.372328471448014842e-01,3.483901976000013390e-01,3.854043140371853360e-01,4.170071119479500932e-01,2.854807361862748971e-01
1.100000000000000000e+01,3.425744151206395749e-01,2.806711102772426192e-01,3.093402147760316856e-01,3.401540369831285160e-01,2.316752234724780979e-01
1.200000000000000000e+01,2.746246369917592633e-01,2.296183844117067885e-01,2.493488254490997258e-01,2.816334124954477658e-01,1.931736537614135718e-01
1.300000000000000000e+01,2.270289962692602359e-01,1.906661981058513367e-01,2.060618592366681989e-01,2.380079707061962258e-01,1.611374724113810442e-01
1.400000000000000000e+01,1.877029767096149715e-01,1.628344619298852103e-01,1.740942319563712481e-01,2.015676413865920280e-01,1.363149019046087373e-01
1.500000000000000000e+01,1.600910120028039008e-01,1.410558606865411069e-01,1.511637046035909648e-01,1.764525898818448124e-01,1.176351790293300725e-01
1.600000000000000000e+01,1.385578811834713431e-01,1.220671744770620848e-01,1.298747331203386479e-01,1.529979720371106855e-01,1.033720540797029297e-01
1.700000000000000000e+01,1.209118296429890355e-01,1.088707203052144551e-01,1.133767614158686793e-01,1.359215382472471201e-01,9.166251062524347071e-02
1.800000000000000000e+01,1.069033457267968001e-01,9.622113760989159381e-02,1.003900398006963846e-01,1.186465790826170402e-01,8.090625558496705727e-02
1.900000000000000000e+01,9.537704296421890826e-02,8.596432929777135523e-02,8.908291745742072387e-02,1.078893725701615125e-01,7.148455235773261418e-02
