gl, gll, cheb, eq, opt
4.000000000000000000e+00,3.554820372852121046e+00,3.387180361364285908e+00,3.420569117636088396e+00,3.352170297355499873e+00,3.380012951884337813e+00
5.000000000000000000e+00,2.901516138633101871e+00,2.559628499384405842e+00,2.717386817860095949e+00,2.308399168458838080e+00,2.331011267663019026e+00
6.000000000000000000e+00,2.075679805935722211e+00,1.973893610045509783e+00,1.969731851029124181e+00,1.938633139019655394e+00,1.914090215795379635e+00
7.000000000000000000e+00,1.498753021380793804e+00,1.150549554447527267e+00,1.246685464147494926e+00,1.510962054552119849e+00,1.157307069031833446e+00
8.000000000000000000e+00,1.438899954292006012e+00,1.000810075988612491e+00,1.191942170592062977e+00,1.166441932633881962e+00,8.178674073816434298e-01
9.000000000000000000e+00,9.439981648660785707e-01,7.508944034551651159e-01,8.426911282298114036e-01,9.205387852547373129e-01,6.136468380540200940e-01
1.000000000000000000e+01,7.211793615256189005e-01,5.814841422862869758e-01,6.430235379852362598e-01,7.336365175871940592e-01,4.832792109274128833e-01
1.100000000000000000e+01,5.630106609033723730e-01,4.606973300580526898e-01,5.073073311859715995e-01,6.009078371775549154e-01,4.041186204051555042e-01
1.200000000000000000e+01,4.505443073753548910e-01,3.743221836230554156e-01,4.062444980413761897e-01,5.001316924902252659e-01,3.136194628032783482e-01
1.300000000000000000e+01,3.715550508236275529e-01,3.117199380521176177e-01,3.361889200719248016e-01,4.240675820110928473e-01,2.621290077758124948e-01
1.400000000000000000e+01,3.011349086361304606e-01,2.605432231032405177e-01,2.806492141544212893e-01,3.605539188489943481e-01,2.251321432041466508e-01
1.500000000000000000e+01,2.580577139469593662e-01,2.261194682091616226e-01,2.417228580212466560e-01,3.153330217681222236e-01,1.936141903709689971e-01
1.600000000000000000e+01,2.206789207093282634e-01,1.951385386765480123e-01,2.063271797492736981e-01,2.738041536065782267e-01,1.683512181296861199e-01
1.700000000000000000e+01,1.929068147019957491e-01,1.731253535334354721e-01,1.812820708628615218e-01,2.423418908753076362e-01,1.478401587666288708e-01
1.800000000000000000e+01,1.699012223742187855e-01,1.526724131344789903e-01,1.590909452919167244e-01,2.123870857437816784e-01,1.316056322848018212e-01
1.900000000000000000e+01,1.514813361004775372e-01,1.367844862089319935e-01,1.411955406692941561e-01,1.926561024604045436e-01,1.175105518669236071e-01
