gl, gll, cheb, eq, opt
4.000000000000000000e+00,4.874335205818077776e-01,2.714509658858381136e-01,3.476570628718709255e-01,1.903067207917622516e-01,1.906596437382940268e-01
5.000000000000000000e+00,2.370560130102824792e-01,1.585765018310817398e-01,1.905075324135535875e-01,1.074394844754263667e-01,1.072444146398050524e-01
6.000000000000000000e+00,1.497549732165257275e-01,1.049302490481894279e-01,1.229969022918002280e-01,6.871273278056205802e-02,6.873274922769692652e-02
7.000000000000000000e+00,1.008052830194307165e-01,7.468083210878957712e-02,8.569820119452095653e-02,4.783988533146577016e-02,4.783988494753320386e-02
8.000000000000000000e+00,7.236986366046316288e-02,5.564075278244295930e-02,6.293862092462958191e-02,3.512149528066525750e-02,3.510115155027731387e-02
9.000000000000000000e+00,5.469798930289634931e-02,4.347065901628381634e-02,4.831365113257120314e-02,2.696023028756467516e-02,2.688870752569546066e-02
1.000000000000000000e+01,4.259941696506423098e-02,3.460495278272694014e-02,3.805517751422268780e-02,2.114831910902238710e-02,2.129344932701150370e-02
1.100000000000000000e+01,3.417154524796640891e-02,2.839325186992087274e-02,3.106816846837425275e-02,1.728735771107833136e-02,1.721731530405640198e-02
1.200000000000000000e+01,2.792591036058806805e-02,2.354314823312534180e-02,2.561650314075616594e-02,1.427611016667924664e-02,1.424385906418678890e-02
1.300000000000000000e+01,2.346865254458121997e-02,2.006488998403983468e-02,2.158927643942843907e-02,1.202808933234392717e-02,1.202453622381857018e-02
1.400000000000000000e+01,1.977239608383980080e-02,1.705630233515827154e-02,1.828483557555861394e-02,1.024082559226852096e-02,1.022132393966151270e-02
1.500000000000000000e+01,1.698869814468198514e-02,1.489492579042953416e-02,1.589267024389254962e-02,8.854087450420504782e-03,8.851210077501888568e-03
1.600000000000000000e+01,1.480131457515147797e-02,1.294585033021606463e-02,1.375378692712770322e-02,7.682879769043143500e-03,7.713649775733906304e-03
1.700000000000000000e+01,1.297656832133472181e-02,1.151089093880328269e-02,1.222671648569475036e-02,6.792215835781309496e-03,6.788421284395740676e-03
1.800000000000000000e+01,1.138866991692202152e-02,1.015760110126041546e-02,1.075216089565044809e-02,6.011974337363233493e-03,6.002285264693900044e-03
1.900000000000000000e+01,1.020200732317376284e-02,9.192787894276936364e-03,9.633835058972837345e-03,5.377386311409789940e-03,5.377386306110211456e-03
