gl, gll, cheb, eq, opt
4.000000000000000000e+00,1.853311302770314306e+00,1.788208271681650974e+00,1.804554941463022866e+00,1.801864147565412244e+00,1.847882184527666283e+00
5.000000000000000000e+00,9.940099643770414772e-01,7.871313533395518647e-01,8.268663780584587508e-01,1.038497196712518500e+00,7.905266569166828905e-01
6.000000000000000000e+00,1.029225460474716636e+00,6.585603704087623633e-01,8.047560746080517635e-01,6.639523578549341165e-01,5.132494943366496809e-01
7.000000000000000000e+00,5.965513865429764584e-01,4.506081433692969984e-01,5.163142977985805127e-01,4.611716802115030656e-01,3.704955960959869787e-01
8.000000000000000000e+00,4.251149543307646828e-01,3.220538925162215738e-01,3.668498563470588558e-01,3.382054378135970207e-01,2.560402108347087924e-01
9.000000000000000000e+00,3.134449908294520970e-01,2.470320816279837073e-01,2.759432636685072993e-01,2.582070500828423931e-01,1.986805793463574110e-01
1.000000000000000000e+01,2.402347072242703441e-01,1.942120666706065590e-01,2.126317817804364296e-01,2.030662559052255067e-01,1.579389943471478375e-01
1.100000000000000000e+01,1.889324013226265642e-01,1.567439334068218559e-01,1.717483055413485116e-01,1.650970137594940101e-01,1.255471644992297853e-01
1.200000000000000000e+01,1.539951603132411750e-01,1.294390480323230341e-01,1.407667926747222242e-01,1.364144973641028269e-01,1.037892068842221349e-01
1.300000000000000000e+01,1.274905747216049101e-01,1.085670051426250449e-01,1.171169611107995556e-01,1.153437986281245775e-01,8.764475675311132752e-02
1.400000000000000000e+01,1.067523913164549199e-01,9.329912104721851951e-02,9.958662901430867520e-02,9.776983837551039835e-02,7.462507927674956465e-02
1.500000000000000000e+01,9.164970841181203920e-02,8.052411266354110586e-02,8.615133528788140871e-02,8.551829291132603816e-02,6.450406189276405855e-02
1.600000000000000000e+01,7.952450825701048998e-02,6.977376142552246807e-02,7.445444950102995951e-02,7.441086647264404108e-02,5.620292356016692165e-02
1.700000000000000000e+01,6.966332057071608630e-02,6.229029383512685314e-02,6.555546956530974856e-02,6.610557638013180026e-02,5.014272476601545903e-02
1.800000000000000000e+01,6.113600066301030922e-02,5.503385381740108495e-02,5.786670341814901392e-02,5.787451182474054323e-02,4.445225108363669297e-02
1.900000000000000000e+01,5.479808629579522444e-02,4.926855873802137714e-02,5.183669068901508581e-02,5.253825339576135428e-02,3.978683891577469711e-02
